Open,High,Low,Close,Date,Volume,Volume_Weighted
381.0,429.54,375.0,375.625,2021-04-15 01:00,40554976,396.1476
375.8554,381.0,325.0,329.66,2021-04-15 02:00,21397263,355.9133
329.0841,344.78,310.0,327.87,2021-04-15 03:00,17156493,327.6038
328.28,337.49,327.5,335.99,2021-04-15 04:00,621977,332.8165
335.06,350.99,335.0,345.51,2021-04-15 05:00,645611,343.6546
345.51,347.93,339.13,343.4,2021-04-15 06:00,294216,343.2703
343.4,345.1,338.0,338.0,2021-04-15 07:00,160972,341.9242
367.0,369.0,357.1,366.3,2021-04-15 16:00,246905,362.8557
366.0,366.8,361.9,362.77,2021-04-15 17:00,64563,364.9802
362.01,363.3,355.11,357.8,2021-04-15 18:00,101439,359.0784
357.8,359.49,346.22,349.5,2021-04-15 19:00,533190,352.4196
358.0,359.46,346.22,349.78,2021-04-15 20:00,740988,351.5186
349.78,350.05,332.49,339.0,2021-04-15 21:00,10133008,340.1918
339.0,339.0,321.5401,335.25,2021-04-15 22:00,8109665,331.1082
335.15,337.92,328.31,333.855,2021-04-15 23:00,4766978,333.2069
333.74,335.95,330.5,333.92,2021-04-16 00:00,3092930,333.2944
334.0,338.18,330.0,332.3,2021-04-16 01:00,3035700,333.4122
332.165,333.0,320.0,324.13,2021-04-16 02:00,3864283,325.691
324.2,325.69,317.2701,325.69,2021-04-16 03:00,4593566,321.9599
324.01,327.49,323.13,324.6,2021-04-16 04:00,181214,325.3159
324.4,326.0,324.15,325.3,2021-04-16 05:00,33560,325.0184
325.37,327.0,325.01,326.66,2021-04-16 06:00,37705,326.1346
326.28,328.76,326.07,328.4,2021-04-16 07:00,58983,327.3986
324.0,325.9,315.62,320.5,2021-04-16 16:00,54744,321.4324
321.5,323.3,320.0,320.0,2021-04-16 17:00,14528,321.568
319.2,320.0,317.0,318.0,2021-04-16 18:00,20789,318.5032
318.45,322.75,318.45,321.5,2021-04-16 19:00,145059,320.4922
320.88,331.0,318.5001,326.8,2021-04-16 20:00,308104,326.8223
326.8,330.0,321.03,327.75,2021-04-16 21:00,3575101,326.8969
328.0,333.0,322.75,331.49,2021-04-16 22:00,3374581,328.8493
331.49,345.99,331.0001,337.98,2021-04-16 23:00,5606193,339.1795
337.96,341.18,334.5,335.61,2021-04-17 00:00,2237370,338.7781
335.81,336.5,328.5501,333.0,2021-04-17 01:00,2248829,332.3119
332.6954,341.0,332.64,339.98,2021-04-17 02:00,1975511,338.427
339.8628,343.43,337.5001,341.59,2021-04-17 03:00,2665748,339.9268
341.19,344.99,340.35,343.71,2021-04-17 04:00,202309,342.7545
343.76,345.94,343.76,344.45,2021-04-17 05:00,84263,345.1216
344.45,345.95,342.01,345.1,2021-04-17 06:00,32150,344.648
345.33,345.8,343.24,344.38,2021-04-17 07:00,33000,344.6335
337.0,338.24,327.0,330.5,2021-04-19 16:00,104324,330.4546
330.4,331.5,328.23,331.5,2021-04-19 17:00,20366,330.0335
333.0,334.0,331.2,331.25,2021-04-19 18:00,19770,332.6796
332.19,337.62,331.5,335.55,2021-04-19 19:00,142103,335.1799
333.78,337.56,330.5801,330.5801,2021-04-19 20:00,164521,333.0763
331.0,339.4,327.8,331.88,2021-04-19 21:00,2713467,333.193
331.9601,341.01,328.0,331.28,2021-04-19 22:00,2644235,334.7778
331.37,333.26,326.79,332.659,2021-04-19 23:00,1380912,330.3791
332.6478,336.0,330.0,331.565,2021-04-20 00:00,884450,333.4357
331.561,335.98,331.4275,334.73,2021-04-20 01:00,712508,333.4918
334.73,334.8999,330.5,332.0,2021-04-20 02:00,802569,332.4889
331.75,333.0,327.25,332.75,2021-04-20 03:00,1671839,330.1309
333.0,333.3,332.25,332.5,2021-04-20 04:00,36114,332.7933
332.5,333.0,331.75,332.63,2021-04-20 05:00,16184,332.1622
332.5,332.5,331.5,331.8,2021-04-20 06:00,6719,331.9566
332.0,332.0,331.0,331.74,2021-04-20 07:00,11447,331.5859
328.82,333.0,328.5,331.16,2021-04-20 16:00,2663,331.0267
332.5,334.0,331.0,331.99,2021-04-20 17:00,4440,332.3044
330.62,331.99,330.0,331.88,2021-04-20 18:00,11191,330.9519
331.06,332.3,329.2,331.5,2021-04-20 19:00,26742,330.5819
331.0124,332.25,329.0,332.0,2021-04-20 20:00,41509,330.9225
332.0,337.0,321.56,326.0,2021-04-20 21:00,2785179,327.0837
325.87,331.1799,321.63,325.085,2021-04-20 22:00,2456064,326.5015
325.01,326.68,312.0201,317.595,2021-04-20 23:00,2841450,318.1352
317.6987,320.99,315.12,316.82,2021-04-21 00:00,1146906,318.3375
316.82,320.0,315.4391,317.4488,2021-04-21 01:00,886165,317.7793
317.5,323.44,316.0,319.6,2021-04-21 02:00,940247,319.9369
319.8,321.5,313.57,320.81,2021-04-21 03:00,2358275,317.6806
320.82,323.01,319.01,322.8,2021-04-21 04:00,84053,321.2296
322.3,322.51,321.5,322.0,2021-04-21 05:00,10447,322.0286
322.0,322.75,320.0,320.25,2021-04-21 06:00,8912,321.4909
321.0,321.0,320.01,320.01,2021-04-21 07:00,11763,320.4014
320.0,320.9,320.0,320.9,2021-04-21 16:00,725,320.3448
322.0,322.0,321.9,321.9,2021-04-21 17:00,783,321.9513
322.56,323.6,320.98,320.98,2021-04-21 18:00,3593,322.7876
321.3,322.2,318.0,318.02,2021-04-21 19:00,24057,320.0751
322.15,322.15,315.0,316.5,2021-04-21 20:00,84747,317.0678
317.0,318.2,302.1,310.7495,2021-04-21 21:00,2426256,309.5131
310.92,319.8,309.15,318.26,2021-04-21 22:00,1604286,314.8436
318.35,326.715,317.16,325.47,2021-04-21 23:00,1586476,321.7178
325.75,327.47,318.09,318.5,2021-04-22 00:00,1096698,323.2791
318.575,318.72,313.0,314.77,2021-04-22 01:00,1011198,316.2681
314.627,315.92,311.22,313.599,2021-04-22 02:00,789351,313.5735
313.5,314.73,311.0,311.5,2021-04-22 03:00,1228317,312.9398
311.88,314.8732,308.89,310.45,2021-04-22 04:00,102591,310.9656
310.78,311.5,310.13,311.02,2021-04-22 05:00,19178,310.8172
311.2,311.45,309.5,309.6,2021-04-22 06:00,31633,310.1635
309.77,310.0,308.5,308.95,2021-04-22 07:00,43898,309.0219
